 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 53.40136054421, 2                 , 20               , 15.625    , 0                   , 3              , 0                  , 3                 
 2.1           , .00854185387, .0003254, 0    , 19299.32, 25          , 48.24830977258, 2                 , 20               , 15.625    , 0                   , 5              , 0                  , 5                 
 2.1           , .00936613693, .0003568, 0    , 17600.89, 25          , 44.00224215246, 2                 , 20               , 15.625    , 0                   , 5              , 0                  , 5                 
 2.1           , .01019042637, .0003882, 0    , 16177.22, 25          , 40.44307058217, 2                 , 20               , 15.625    , 0                   , 7              , 0                  , 7                 
 2.1           , .01101472272, .0004196, 0    , 14966.63, 25          , 37.41658722592, 2                 , 20               , 15.625    , 0                   , 4              , 0                  , 4                 
 2.1           , .01183902656, .000451 , 0    , 13924.61, 25          , 34.81152993348, 2                 , 20               , 15.625    , 0                   , 4              , 0                  , 4                 
 2.1           , .01266333844, .0004824, 0    , 13018.24, 25          , 32.54560530679, 2                 , 20               , 15.625    , 0                   , 7              , 0                  , 7                 
 2.1           , .01348765893, .0005138, 0    , 12222.65, 25          , 30.55663682366, 2                 , 20               , 15.625    , 0                   , 4              , 0                  , 4                 
 2.1           , .01431198859, .0005452, 0    , 11518.7 , 25          , 28.79677182685, 2                 , 20               , 15.625    , 0                   , 9              , 0                  , 9                 
 2.1           , .01513632797, .0005766, 0    , 10891.43, 25          , 27.22858133888, 2                 , 20               , 15.625    , 0                   , 10             , 0                  , 10                
 2.1           , .01596067763, .000608 , 0    , 10328.94, 25          , 25.82236842105, 2                 , 20               , 15.625    , 0                   , 10             , 0                  , 10                
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 53.40136054421, 2                 , 20               , 15.625    , 0                   , 3              , 0                  , 3                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 description: 2/6/15, http://fp.optics.arizona.edu/Nofziger/OPTI%20202L/MG%20Gradient-Index_lenses.pdf
 N_LENS_CORE, ANGLE (rad), SQRTA, A0, PITCH (um), LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , .00771757661, .000294 , 0    , 21360.54, 25          , 53.40136054421, 2                 , 20               , 15.625    , 8                   , 60             , .800000000000000044, 6                 
 2.1           , .00854185387, .0003254, 0    , 19299.32, 25          , 48.24830977258, 2                 , 20               , 15.625    , 10                  , 64             , .999999900000000052, 6.4000000000000003
 2.1           , .00936613693, .0003568, 0    , 17600.89, 25          , 44.00224215246, 2                 , 20               , 15.625    , 9                   , 55             , .899999899999999963, 5.5               
 2.1           , .01019042637, .0003882, 0    , 16177.22, 25          , 40.44307058217, 2                 , 20               , 15.625    , 9                   , 66             , .899999899999999963, 6.5999999999999996
 2.1           , .01101472272, .0004196, 0    , 14966.63, 25          , 37.41658722592, 2                 , 20               , 15.625    , 8                   , 70             , .800000000000000044, 7                 
 2.1           , .01183902656, .000451 , 0    , 13924.61, 25          , 34.81152993348, 2                 , 20               , 15.625    , 9                   , 60             , .899999899999999963, 6                 
 2.1           , .01266333844, .0004824, 0    , 13018.24, 25          , 32.54560530679, 2                 , 20               , 15.625    , 9                   , 65             , .899999899999999963, 6.5               
 2.1           , .01348765893, .0005138, 0    , 12222.65, 25          , 30.55663682366, 2                 , 20               , 15.625    , 9                   , 63             , .899999899999999963, 6.2999999999999998
 2.1           , .01431198859, .0005452, 0    , 11518.7 , 25          , 28.79677182685, 2                 , 20               , 15.625    , 10                  , 65             , .999999900000000052, 6.5               
 2.1           , .01513632797, .0005766, 0    , 10891.43, 25          , 27.22858133888, 2                 , 20               , 15.625    , 11                  , 61             , 1.10000000000000008, 6.0999999999999996
 2.1           , .01596067763, .000608 , 0    , 10328.94, 25          , 25.82236842105, 2                 , 20               , 15.625    , 12                  , 61             , 1.19999999999999995, 6.0999999999999996
