      
          
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 9.237069965008, .0022310366619088 , 25               , 25        , 52                  , 87             , 5.20000000000000017, 8.699999          
 2.1           , 0    ,50          , 8.077583360212, .0019509849643372 , 25               , 25        , 53                  , 95             , 5.29999999999999982, 9.4999990000000007
 2.1           , -.001,50          , 7.267687783214, .0017553702584354 , 25               , 25        , 56                  , 144            , 5.59999999999999964, 14.4              
 2.1           , -.001,50          , 6.660945878777, .0016088234163908 , 25               , 25        , 55                  , 190            , 5.5                , 19                
 2.1           , -.002,50          , 6.184532987692, .0014937550418693 , 25               , 25        , 60                  , 144            , 6                  , 14.4              
 2.1           , -.002,50          , 5.797609225126, .0014003010458598 , 25               , 25        , 59                  , 149            , 5.90000000000000035, 14.9              
 2.1           , -.003,50          , 5.475263784833, .0013224447020390 , 25               , 25        , 60                  , 134            , 6                  , 13.4              
 2.1           , -.004,50          , 5.201324878125, .0012562800257615 , 25               , 25        , 62                  , 125            , 6.20000000000000017, 12.5              
 2.1           , -.005,50          , 4.964775926464, .0011991461742811 , 25               , 25        , 60                  , 106            , 6                  , 10.599999999999999
 2.1           , 0    ,50          , 11.10157646462, .0026813723606514 , 25               , 25        , 47                  , 75             , 4.70000000000000017, 7.5               
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 height = 0.75 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 33.30472939388, .0080441306848325 , 25               , 25        , 20                  , 102            , 2                  , 10.199999999999999
 2.1           , 0    ,50          , 27.71120989502, .0066931213040045 , 25               , 25        , 24                  , 159            , 2.39999999999999991, 15.9              
 2.1           , 0    ,50          , 24.23275008063, .0058529647905594 , 25               , 25        , 27                  , 204            , 2.70000000000000017, 20.399999999999998
 2.1           , -.001,50          , 21.80306334964, .0052661196804803 , 25               , 25        , 31                  , 143            , 3.10000000000000008, 14.3              
 2.1           , -.001,50          , 19.98283763633, .0048264784108977 , 25               , 25        , 31                  , 109            , 3.10000000000000008, 10.9              
 2.1           , -.002,50          , 18.55359896307, .0044812727035811 , 25               , 25        , 32                  , 80             , 3.20000000000000017, 8                 
 2.1           , -.002,50          , 17.39282767538, .0042009102414508 , 25               , 25        , 34                  , 69             , 3.39999999999999991, 6.9000000000000003
 2.1           , -.003,50          , 16.4257913545 , .0039673408150138 , 25               , 25        , 35                  , 71             , 3.5                , 7.0999999999999996
 2.1           , -.004,50          , 15.60397463437, .0037688464505216 , 25               , 25        , 37                  , 45             , 3.70000000000000017, 4.5               
 2.1           , -.005,50          , 14.89432777939, .0035974446062355 , 25               , 25        , 38                  , 40             , 3.79999999999999982, 4                 
 2.1           , -.005,50          , 14.89432777939, .0035974446062355 , 25               , 25        , 38                  , 40             , 3.79999999999999982, 4                 
 EM_WAVE,.59       ,AIR_GAP, 2          
          
 height = 0.75 x pitch /
 N_LENS_CORE, A0, LENS_DIA (um), LENS_HEIGHT (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), DET_RAD (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 2.1           , 0    ,50          , 47.1          , .0113761187119917 , 25               , 25        , 16                  , 97             , 1.60000000000000008, 9.699999          
 2.1           , 0    ,50          , 33.30472939388, .0080441306848325 , 25               , 25        , 20                  , 102            , 2                  , 10.199999999999999
 2.1           , 0    ,50          , 27.19319767883, .0065680052007016 , 25               , 25        , 26                  , 160            , 2.60000000000000008, 16                
 2.1           , 0    ,50          , 23.55         , .0056880593559958 , 25               , 25        , 29                  , 198            , 2.89999999999999991, 19.8              
 2.1           , -.001,50          , 21.06376034804, .0050875549520242 , 25               , 25        , 30                  , 131            , 3                  , 13.099999999999999
 2.1           , -.001,50          , 19.22849448084, .0046442810162828 , 25               , 25        , 34                  , 113            , 3.39999999999999991, 11.3              
 2.1           , -.002,50          , 17.80212667873, .0042997687138699 , 25               , 25        , 35                  , 85             , 3.5                , 8.4999990000000007
