 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 3        , 1        , 56.25       , 56.25       , 50         , 28.125    , 10                , 25               , 13                  , 58             , 1.30000000000000004, 5.7999999999999998
 1.7            , .005 , 50            , 3        , 2        , 56.25       , 56.25       , 50         , 56.25     , 10                , 25               , 56                  , 32             , 5.59999999999999964, 3.2000000000000001
 1.7            , .005 , 50            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 74             , 11                 , 7.4000000000000003
 1.7            , .005 , 50            , 3        , 4        , 56.25       , 56.25       , 50         , 112.5     , 10                , 25               , 134                 , 38             , 13.4000000000000003, 3.7999999999999998
 1.7            , .005 , 50            , 3        , 5        , 56.25       , 56.25       , 50         , 140.625   , 10                , 25               , 135                 , 86             , 13.5               , 8.5999990000000003
 1.7            , .005 , 50            , 3        , 2        , 56.25       , 56.25       , 50         , 56.25     , 10                , 25               , 56                  , 32             , 5.59999999999999964, 3.2000000000000001
 EM_WAVE,.59       ,AIR_GAP, 2           
          
 N_LENS_CORE, A0, LENS_HEIGHT (um), LENS_X, LENS_Y, LENS_XPCH (um), LENS_YPCH (um), LENS_DIA (um), DET_RAD (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENRAYS, NRAYS,  BASEFLUX, FLUX    
 1.7            , .005 , 50            , 3        , 1        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 72             , 11                 , 7.2000000000000001
 1.7            , .005 , 50            , 3        , 2        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 43             , 11                 , 4.2999999999999998
 1.7            , .005 , 50            , 3        , 3        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 74             , 11                 , 7.4000000000000003
 1.7            , .005 , 50            , 3        , 4        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 34             , 11                 , 3.3999999999999999
 1.7            , .005 , 50            , 3        , 5        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 83             , 11                 , 8.3000000000000007
 1.7            , .005 , 50            , 3        , 4        , 56.25       , 56.25       , 50         , 84.375    , 10                , 25               , 110                 , 34             , 11                 , 3.3999999999999999
 EM_WAVE,.59       ,AIR_GAP, 2           
          
