 250UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 261.53846 , 20               , 11                  , 44             , 1.10000000000000008, 4.4000000000000003
 1.768     , 261.53846 , 20               , 10                  , 37             , .999999900000000052, 3.7000000000000001
 1.768     , 261.53846 , 20               , 10                  , 34             , .999999900000000052, 3.3999999999999999
 1.768     , 261.53846 , 20               , 11                  , 42             , 1.10000000000000008, 4.2000000000000001
 1.768     , 261.53846 , 20               , 10                  , 43             , .999999900000000052, 4.2999999999999998
 1.768     , 261.53846 , 20               , 8                   , 31             , .800000000000000044, 3.1               
 1.768     , 261.53846 , 20               , 9                   , 29             , .899999899999999963, 2.8999999999999999
 1.768     , 261.53846 , 20               , 9                   , 34             , .899999899999999963, 3.3999999999999999
 1.768     , 261.53846 , 20               , 9                   , 33             , .899999899999999963, 3.2999999999999998
 1.768     , 261.53846 , 20               , 9                   , 28             , .899999899999999963, 2.7999999999999998
 1.768     , 261.53846 , 20               , 8                   , 30             , .800000000000000044, 3                 
 1.768     , 261.53846 , 20               , 8                   , 34             , .800000000000000044, 3.3999999999999999
 1.768     , 261.53846 , 20               , 7                   , 27             , .699999999999999955, 2.7000000000000001
 1.768     , 261.53846 , 20               , 8                   , 29             , .800000000000000044, 2.8999999999999999
 1.768     , 261.53846 , 20               , 8                   , 33             , .800000000000000044, 3.2999999999999998
 1.768     , 261.53846 , 20               , 7                   , 22             , .699999999999999955, 2.2000000000000001
 1.768     , 261.53846 , 20               , 8                   , 25             , .800000000000000044, 2.5               
 1.768     , 261.53846 , 20               , 6                   , 25             , .599999999999999977, 2.5               
 1.768     , 261.53846 , 20               , 8                   , 21             , .800000000000000044, 2.1               
 1.768     , 261.53846 , 20               , 8                   , 21             , .800000000000000044, 2.1               
 EM_WAVE,.59       ,AIR_GAP,         2.,LENS_DIA,200        ,DET_RAD,100         
          
 200UM SAPPHIRE 
 N_LENS, LENS_F (um), PDMS_CHAN_LENS (um), PDMS_LENS_DET (um), BASENUMBEROFRAYS, NUMBEROFRAYS,  BASEFLUXDETECTED, FLUXDETECTED    
 1.768     , 261.53846 , 211.5384615384615, 20               , 11                  , 60             , 1.10000000000000008, 6                 
 1.768     , 261.53846 , 215.5384615384615, 20               , 10                  , 55             , .999999900000000052, 5.5               
 1.768     , 261.53846 , 219.5384615384615, 20               , 12                  , 53             , 1.19999999999999995, 5.2999999999999998
