    
   BASELINE = 1    , complete set with tolerances for, detector distribution, bare channel, constant laser position
   EX_POW (W), SPOT_DIA, N_LENS, LENS_DIA (um), TOL (um), EFL (um), PDMS_LENS_DET (um), WD_PDMS, ANG, X_SHIFT, DIFF_X, DET_RAD (um), EX_DET_R, EX_DET_F, EX_SPOT_R, EX_SPOT_F, SPOT_DET_R, SPOT_DET_F, THETA, SNR
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 64        , 0          , 0          , 3147        , 112.9732    , 27           , 1815795      , 5.957034, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 100       , 0          , 0          , 3147        , 112.9732    , 88           , 5918145      , 10.76547, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 144       , 0          , 0          , 3147        , 112.9732    , 166          , 11163770     , 14.80524, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 196       , 0          , 0          , 3147        , 112.9732    , 275          , 18494190     , 19.09105, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 256       , 0          , 0          , 3147        , 112.9732    , 439          , 29523440     , 24.18883, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 120              , 578.333333, 37.23278, 449      , 0          , 324       , 0          , 0          , 3147        , 112.9732    , 667          , 44856400     , 29.93409, -1    
 , ,, , , ,170             
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 36        , 0          , 0          , 2835        , 106.4246    , 6            , 403509.1     , 2.807189, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 64        , 0          , 0          , 2835        , 106.4246    , 20           , 1345030      , 5.1264  , -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 100       , 0          , 0          , 2835        , 106.4246    , 71           , 4774857      , 9.667118, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 144       , 0          , 0          , 2835        , 106.4246    , 141          , 9482462      , 13.63917, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 196       , 0          , 0          , 2835        , 106.4246    , 248          , 16678370     , 18.12133, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 256       , 0          , 0          , 2835        , 106.4246    , 373          , 25084790     , 22.27125, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 170              , 628.333333, 35.01701, 449      , 0          , 324       , 0          , 0          , 2835        , 106.4246    , 570          , 38333280     , 27.62516, -1    
 , ,, , , ,220             
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 36        , 0          , 0          , 2534        , 89.38587    , 6            , 403508.3     , 2.807189, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 64        , 0          , 0          , 2534        , 89.38587    , 17           , 1143274      , 4.72607 , -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 100       , 0          , 0          , 2534        , 89.38587    , 55           , 3698826      , 8.506147, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 144       , 0          , 0          , 2534        , 89.38587    , 120          , 8070163      , 12.57811, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 196       , 0          , 0          , 2534        , 89.38587    , 218          , 14660790     , 16.98132, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 256       , 0          , 0          , 2534        , 89.38587    , 318          , 21385920     , 20.54448, -1    
   .0004    ,         25, 1.76      , 250        , 0     , 333.33 , 220              , 678.333333, 33.02143, 449      , 0          , 324       , 0          , 0          , 2534        , 89.38587    , 493          , 33154720     , 25.65729, -1    
 , ,, , , ,270             
